"Object","DeveloperName","ApiName","CreatedDateUTC","CreatedBy"
"Opportunity","Solicitar_Doc_24_Horas","Solicitar_Doc_24_Horas__c","2026-03-08T03:14:28.000+0000","Francisco Ortega Frias"
"Opportunity","Utima_generaci_n_tarea_Solicitar_Doc","Utima_generaci_n_tarea_Solicitar_Doc__c","2026-03-08T03:12:09.000+0000","Francisco Ortega Frias"
"Opportunity","FechaContactoOpp","FechaContactoOpp__c","2026-03-07T04:54:45.000+0000","Francisco Ortega Frias"
"Opportunity","LastModifyad24hours","LastModifyad24hours__c","2026-03-06T21:24:57.000+0000","Francisco Ortega Frias"
"Opportunity","Ultima_generacion_de_tarea","Ultima_generacion_de_tarea__c","2026-03-06T18:51:31.000+0000","Francisco Ortega Frias"
